time_s,pos_x_m,pos_y_m,pos_z_m,vel_x_mps,vel_y_mps,vel_z_mps,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,gps_x_m,gps_y_m,gps_z_m,acc_norm,gyro_norm,gps_drift_m,health_score,monitor_action
0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.01,0.02,-9.8,0.01,0.0,0.01,0.1,-0.1,-2.0,9.8,0.0141,0.1414,0.0401,normal
0.5,2.0,1.0,-3.0,4.0,2.0,-2.0,0.2,0.1,-9.65,0.02,0.01,0.02,2.1,1.0,-3.1,9.6526,0.03,0.1414,0.1132,normal
1.0,4.0,2.0,-4.0,4.0,2.0,-2.0,0.25,0.18,-9.6,0.03,0.02,0.02,4.3,2.2,-4.0,9.6049,0.0412,0.3606,0.1755,normal
1.5,6.0,3.0,-5.0,4.0,2.0,-2.0,0.28,0.22,-9.58,0.04,0.03,0.03,6.4,3.1,-5.2,9.5866,0.0583,0.4583,0.2157,normal
2.0,8.0,4.0,-6.0,4.0,2.0,-2.0,0.32,0.24,-9.55,0.05,0.03,0.04,8.7,4.5,-6.2,9.5584,0.0707,0.8832,0.3017,normal
2.5,10.0,5.0,-7.0,4.0,2.0,-2.0,0.85,0.7,-9.1,0.14,0.12,0.09,10.9,5.7,-7.1,9.1664,0.2052,1.1446,0.6378,smooth_control
3.0,12.0,6.0,-8.0,4.0,2.0,-2.0,1.1,0.95,-8.9,0.22,0.18,0.13,13.2,7.1,-8.3,9.0179,0.3126,1.6553,0.8883,relocalize
3.5,14.0,7.0,-8.5,4.0,2.0,-1.0,0.92,0.78,-9.05,0.18,0.15,0.11,15.1,8.5,-8.7,9.13,0.2588,1.8708,0.817,relocalize
4.0,16.0,8.0,-8.8,4.0,2.0,-0.6,0.38,0.3,-9.5,0.07,0.05,0.05,17.0,9.2,-9.0,9.5123,0.0995,1.5748,0.4515,smooth_control
4.5,18.0,9.0,-9.0,4.0,2.0,-0.4,0.35,0.27,-9.55,0.06,0.05,0.04,19.5,10.8,-9.1,9.5602,0.0877,2.3452,0.5318,smooth_control
5.0,20.0,10.0,-9.2,4.0,2.0,-0.4,0.4,0.32,-9.45,0.08,0.06,0.05,21.9,12.6,-9.4,9.4639,0.1118,3.2265,0.7226,relocalize
5.5,22.0,11.0,-9.3,4.0,2.0,-0.2,0.75,0.65,-9.2,0.17,0.13,0.1,24.1,14.3,-9.8,9.2534,0.2362,3.9433,1.0,relocalize
