x,y,clearance,flatness,slope,landing_score,decision
5,6,8.03,0.034,0.104,0.9311,best
4,6,8.042,0.04,0.125,0.9196,safe
9,3,7.961,0.043,0.11,0.915,safe
6,6,8.001,0.042,0.137,0.912,safe
3,6,8.037,0.046,0.133,0.9095,safe
6,7,8.028,0.044,0.141,0.9093,safe
8,3,7.969,0.048,0.122,0.9066,safe
10,2,7.97,0.051,0.162,0.8932,safe
10,3,7.985,0.051,0.165,0.8924,safe
6,8,8.024,0.054,0.165,0.8908,safe
8,5,8.018,0.058,0.184,0.8808,safe
9,5,8.015,0.059,0.186,0.8786,safe
8,4,7.996,0.062,0.194,0.8722,safe
6,2,7.979,0.062,0.188,0.8721,safe
9,4,7.992,0.062,0.194,0.8717,safe
2,6,8.018,0.069,0.2,0.8621,safe
6,5,8.029,0.065,0.224,0.8616,safe
7,5,8.01,0.064,0.225,0.8616,safe
7,2,7.953,0.069,0.23,0.8512,safe
10,4,7.997,0.07,0.241,0.8496,safe
6,4,8.017,0.075,0.224,0.8489,safe
7,4,7.994,0.073,0.235,0.8474,safe
7,1,7.93,0.072,0.23,0.8472,safe
10,5,8.012,0.073,0.241,0.8469,safe
9,2,7.953,0.069,0.257,0.8455,safe
6,9,8.0,0.075,0.239,0.8443,safe
7,3,7.997,0.076,0.245,0.8415,safe
2,7,8.046,0.076,0.259,0.8401,safe
6,1,7.957,0.073,0.256,0.8397,safe
6,3,8.013,0.079,0.245,0.8384,safe
8,2,7.953,0.075,0.257,0.8376,safe
2,8,8.06,0.078,0.276,0.833,safe
4,8,8.026,0.078,0.276,0.8315,safe
4,7,8.03,0.08,0.276,0.829,safe
5,7,8.024,0.081,0.276,0.828,safe
5,8,8.014,0.084,0.276,0.8235,safe
10,1,8.02,0.086,0.273,0.822,safe
8,1,7.941,0.087,0.257,0.8218,safe
5,10,7.996,0.091,0.261,0.8179,safe
3,10,8.013,0.094,0.279,0.8101,safe
5,9,7.97,0.1,0.276,0.8016,safe
2,10,7.995,0.101,0.279,0.7998,safe
4,9,7.956,0.101,0.276,0.7994,safe
4,10,7.992,0.104,0.276,0.7974,safe
1,8,8.056,0.105,0.289,0.7956,safe
6,10,8.024,0.098,0.322,0.7949,safe
3,7,8.033,0.096,0.38,0.7826,safe
3,8,8.04,0.098,0.38,0.7801,safe
1,10,8.008,0.108,0.344,0.7758,reject
9,1,7.993,0.103,0.368,0.7751,reject
1,9,8.044,0.111,0.344,0.7738,reject
1,6,7.98,0.105,0.363,0.7729,reject
2,9,8.007,0.11,0.348,0.7722,reject
3,3,5.783,0.068,0.202,0.7646,reject
3,9,7.995,0.122,0.38,0.7479,reject
1,7,7.992,0.117,0.435,0.7405,reject
9,8,6.329,0.092,0.352,0.7206,reject
7,10,7.846,0.536,1.832,0.3432,reject
7,6,7.814,0.511,1.678,0.3419,reject
5,5,7.809,0.683,2.27,0.3416,reject
1,1,7.741,0.7,2.316,0.3387,reject
5,1,7.743,0.717,2.375,0.3387,reject
1,5,7.722,0.713,2.365,0.3378,reject
8,10,7.67,0.717,1.852,0.3355,reject
7,7,7.648,0.687,1.731,0.3346,reject
10,10,7.648,0.675,1.82,0.3346,reject
8,6,7.645,0.71,1.844,0.3345,reject
7,9,7.63,0.685,1.743,0.3338,reject
10,6,7.599,0.757,2.001,0.3325,reject
5,4,7.542,0.914,2.364,0.33,reject
4,5,7.544,0.932,2.39,0.33,reject
1,4,7.523,0.954,2.409,0.3291,reject
4,1,7.51,0.905,2.375,0.3286,reject
1,2,7.511,0.936,2.366,0.3286,reject
5,2,7.496,0.932,2.375,0.328,reject
9,10,7.496,0.793,1.82,0.328,reject
2,1,7.491,0.882,2.243,0.3278,reject
2,5,7.49,0.947,2.365,0.3277,reject
7,8,7.454,0.775,1.743,0.3261,reject
9,6,7.436,0.841,2.001,0.3253,reject
5,3,7.284,1.054,2.434,0.3187,reject
3,5,7.279,1.065,2.365,0.3185,reject
8,7,7.267,0.84,1.811,0.3179,reject
3,1,7.264,1.035,2.3,0.3178,reject
10,9,7.261,0.795,1.725,0.3177,reject
1,3,7.259,1.068,2.409,0.3176,reject
8,9,7.253,0.82,1.697,0.3173,reject
10,7,7.239,0.868,1.968,0.3167,reject
4,4,7.027,1.109,2.39,0.3074,reject
4,2,7.021,1.095,2.375,0.3072,reject
2,2,7.004,1.076,2.246,0.3064,reject
2,4,6.995,1.121,2.365,0.306,reject
9,9,6.913,0.773,1.725,0.3025,reject
8,8,6.885,0.783,1.744,0.3012,reject
9,7,6.871,0.807,1.968,0.3006,reject
10,8,6.863,0.783,1.912,0.3002,reject
4,3,6.535,1.042,2.393,0.2859,reject
3,2,6.525,1.045,2.287,0.2855,reject
3,4,6.523,1.061,2.365,0.2854,reject
2,3,6.51,1.039,2.301,0.2848,reject
