frame,time_s,depth_m,azimuth_deg,altitude_deg,radial_velocity_mps,object_type,closing_speed_mps,ttc_s,risk_score,brake_action
0.0,0.0,42.0,1.2,0.1,-7.2,vehicle,7.2,5.833,0.2464,monitor
1.0,0.1,40.0,1.1,0.1,-7.4,vehicle,7.4,5.405,0.2492,monitor
2.0,0.2,38.0,1.0,0.0,-7.8,vehicle,7.8,4.872,0.252,monitor
3.0,0.3,35.0,0.9,0.0,-8.3,vehicle,8.3,4.217,0.2548,monitor
4.0,0.4,32.0,0.8,0.0,-8.8,vehicle,8.8,3.636,0.3231,monitor
5.0,0.5,29.0,0.7,0.0,-9.4,vehicle,9.4,3.085,0.4251,monitor
6.0,0.6,25.0,0.5,0.0,-10.2,vehicle,10.2,2.451,0.5448,soft_brake
7.0,0.7,21.0,0.4,0.0,-10.8,vehicle,10.8,1.944,0.6388,soft_brake
8.0,0.8,18.0,0.3,0.0,-10.5,vehicle,10.5,1.714,0.683,emergency_brake
9.0,0.9,16.0,0.2,0.0,-9.6,vehicle,9.6,1.667,0.6944,emergency_brake
10.0,1.0,22.0,-6.5,0.0,-3.0,bicycle,3.0,7.333,0.1078,monitor
11.0,1.1,20.0,-5.8,0.0,-3.4,bicycle,3.4,5.882,0.1294,monitor
12.0,1.2,18.0,-4.8,0.0,-3.9,bicycle,3.9,4.615,0.1602,monitor
13.0,1.3,16.0,-3.8,0.0,-4.4,bicycle,4.4,3.636,0.263,monitor
14.0,1.4,15.0,-2.5,0.0,-4.9,bicycle,4.9,3.061,0.4169,monitor
15.0,1.5,28.0,8.0,0.1,-1.5,pedestrian,1.5,18.667,0.0672,monitor
16.0,1.6,26.0,7.2,0.1,-1.8,pedestrian,1.8,14.444,0.0941,monitor
17.0,1.7,24.0,6.4,0.1,-2.0,pedestrian,2.0,12.0,0.121,monitor
