time_s,left_front_n,right_front_n,left_rear_n,right_rear_n,com_x_m,com_y_m,torso_roll_deg,left_force_n,right_force_n,force_imbalance,balance_risk,balance_action
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable_walk
0.11,17.75379,17.75379,17.75379,17.75379,-0.0,-0.0,0.0,35.51,35.51,0.0,0.0,stable_walk
0.21,19.58176,19.58176,19.58176,19.58176,0.0,-0.0,0.0,39.16,39.16,0.0,0.0,stable_walk
0.31,19.61993,19.61993,19.61993,19.61993,0.0,-0.0,-0.0,39.24,39.24,0.0,0.0,stable_walk
0.41,19.62,19.62,19.62,19.62,-0.0,-0.0,-0.0,39.24,39.24,0.0,0.0,stable_walk
0.51,83.27986,2.13341,1.87974,1.89862,0.00259,0.00212,-0.8175,85.16,4.03,0.9096,0.6128,adjust_support
0.61,86.28899,1.79871,1.8946,1.92938,0.01503,0.00978,-1.4392,88.18,3.73,0.9189,0.6445,adjust_support
0.71,84.66698,1.80949,1.93209,1.9843,0.0387,0.02117,-2.4537999999999998,86.6,3.79,0.9161,0.6989,adjust_support
0.81,72.48144,1.60066,1.49548,1.36196,0.07162,0.03478,-1.1299,73.98,2.96,0.923,0.7023,adjust_support
0.91,73.91682,1.60142,1.52202,1.38658,0.08774,0.03439,1.9514999999999998,75.44,2.99,0.9238,0.7393,recover_posture
1.01,72.36807,1.58226,1.51831,1.36051,0.08489,0.01715,5.3392,73.89,2.94,0.9234,0.8192,recover_posture
1.11,1.5933,70.98508,1.32983,1.48203,0.0611,-0.00597,2.1527,2.92,72.47,0.9225,0.7095,adjust_support
1.21,6.70939,7.41628,9.2419,384.66698,0.00848,-0.01585,0.6092,15.95,392.08,0.9218,0.623,adjust_support
1.31,2.03925,1.90723,1.84919,76.42291,-0.05886,-0.0291,3.9334000000000002,3.89,78.33,0.9054,0.7603,recover_posture
1.41,2.19873,2.02985,1.85283,66.92999,-0.14443,-0.0596,7.6325,4.05,68.96,0.889,0.9531,recover_posture
1.51,1.59143,1.64518,1.48156,55.42658,-0.2558,-0.10828,8.8922,3.07,57.07,0.8978,1.1155,recover_posture
