frame,time_s,depth_m,azimuth_deg,altitude_deg,radial_velocity_mps,object_type
0,0.0,42,1.2,0.1,-7.2,vehicle
1,0.1,40,1.1,0.1,-7.4,vehicle
2,0.2,38,1.0,0.0,-7.8,vehicle
3,0.3,35,0.9,0.0,-8.3,vehicle
4,0.4,32,0.8,0.0,-8.8,vehicle
5,0.5,29,0.7,0.0,-9.4,vehicle
6,0.6,25,0.5,0.0,-10.2,vehicle
7,0.7,21,0.4,0.0,-10.8,vehicle
8,0.8,18,0.3,0.0,-10.5,vehicle
9,0.9,16,0.2,0.0,-9.6,vehicle
10,1.0,22,-6.5,0.0,-3.0,bicycle
11,1.1,20,-5.8,0.0,-3.4,bicycle
12,1.2,18,-4.8,0.0,-3.9,bicycle
13,1.3,16,-3.8,0.0,-4.4,bicycle
14,1.4,15,-2.5,0.0,-4.9,bicycle
15,1.5,28,8.0,0.1,-1.5,pedestrian
16,1.6,26,7.2,0.1,-1.8,pedestrian
17,1.7,24,6.4,0.1,-2.0,pedestrian
